article_id,published_at,scope,pollster,title,topic,party,pct,approx,source,sample_size,response_rate_pct,fielded_note
visir-20262917099,2026-08-04T18:31:00,national,Maskína,Meirihluti telur vexti lækka en undanþágu í sjávarútvegi ólíklega,esb,Óákveðin,1.5,false,prose,,,22. til 29. júlí
visir-20262917613,2026-08-05T22:10:00,national,Gallup,Hnífjafnt í nýrri könnun,esb,,,false,none,,,15.–30. júlí
ruv-483052,2026-08-06T08:11:00,national,Gallup,Hnífjafnt milli fylkinga,esb,Andvígt,46.0,false,manual,1996,40.3,15. til 30. júlí
ruv-483052,2026-08-06T08:11:00,national,Gallup,Hnífjafnt milli fylkinga,esb,Hlynnt,46.0,false,manual,1996,40.3,15. til 30. júlí
ruv-483052,2026-08-06T08:11:00,national,Gallup,Hnífjafnt milli fylkinga,esb,Óákveðin,8.0,false,manual,1996,40.3,15. til 30. júlí
visir-20262920711,2026-08-13T18:31:00,national,Maskína,Forskot Já-hliðarinnar mælist minna,esb,Já,52.2,false,prose,,,7. til 11. ágúst
visir-20262920711,2026-08-13T18:31:00,national,Maskína,Forskot Já-hliðarinnar mælist minna,esb,Nei,47.8,false,prose,,,7. til 11. ágúst
ruv-483977,2026-08-14T18:06:55.631203Z,national,Gallup,Nýr þjóðarpúls: Ekki marktækur munur á fylkingum,esb,Já,51.5,false,prose,4128,41.9,1.–13. ágúst
ruv-483977,2026-08-14T18:06:55.631203Z,national,Gallup,Nýr þjóðarpúls: Ekki marktækur munur á fylkingum,esb,Nei,48.5,false,prose,4128,41.9,1.–13. ágúst
ruv-483977,2026-08-14T18:06:55.631203Z,national,Gallup,Nýr þjóðarpúls: Ekki marktækur munur á fylkingum,esb,Óákveðin,7.0,false,prose,4128,41.9,1.–13. ágúst
visir-20262921222,2026-08-14T18:33:00,national,Gallup,Enginn marktækur munur á jáurum og neiurum,esb,Já,51.5,false,prose,,,
visir-20262921222,2026-08-14T18:33:00,national,Gallup,Enginn marktækur munur á jáurum og neiurum,esb,Nei,48.5,false,prose,,,
visir-20262921222,2026-08-14T18:33:00,national,Gallup,Enginn marktækur munur á jáurum og neiurum,esb,Óákveðin,7.0,false,prose,,,
visir-20262921428,2026-08-15T15:41:00,national,,Miðflokksmenn helmingi líklegri til að segja já en Sjálfstæðismenn,esb,Já,51.5,false,prose,,,
visir-20262921428,2026-08-15T15:41:00,national,,Miðflokksmenn helmingi líklegri til að segja já en Sjálfstæðismenn,esb,Nei,48.5,false,prose,,,
visir-20262921428,2026-08-15T15:41:00,national,,Miðflokksmenn helmingi líklegri til að segja já en Sjálfstæðismenn,esb,Óákveðin,7.0,false,prose,,,
